Marque,Modèle,Kilométrage,Année,Énergie,Boite,Puissance Fiscale,Transmission,Carrosserie,Date de l'annonce,Gouvernorat,Génération,Couleur extérieure,Couleur intérieure,Sellerie,Nombre de places,Nombre de portes,Moteur,Puissance,Prix (DT)
,,Land Rover,Range Rover Velar,Velar07/2017 - Aujourd'hui,Blanc,Essence,Automatique,11                                                    cv,Traction,,,,,,,,,,312 204
Automatique,8                                                    cv,Volkswagen,Passat,B8 Berline Phase 207/2019 - Aujourd'hui,Noir,Noir,Cuir partiel,5,4,Essence,Traction,1599                                                    cm³,,,,,,,134 729
Manuelle,4                                                    cv,Peugeot,206+,03/2009 - 01/2013,Noir,Noir,Similicuir,5,5,Essence,Traction,1124                                                    cm³,,,,,,,37 339
Automatique,7                                                    cv,BMW,Série 4 Gran Coupé,(F36) LCI Gran Coupé03/2017 - 07/2021,Bleu,Noir,Cuir intégral,5,4,Essence,Traction,1498                                                    cm³,,,,,,,156 837
Automatique,7                                                    cv,MG,ZS,ZS SUV03/2017 - 11/2021,Bleu,Noir,Similicuir,5,4,Essence,Traction,1498                                                    cm³,,,,,,,81 229
91                                                    ch dyn,140                                                    ch dyn,Renault,Clio,V Phase 1 5 Portes09/2020 - 12/2022,Gris Shark,Gris,Cuir partiel,5,4,E-TECH 1.6 i 16V GPF 140 Hybrid S&S,Hybride essence,Automatique,5                                                    cv,Traction,1598                                                    cm³,,,,91 548
Automatique,8                                                    cv,Audi,A3 Berline,Série 4 Limousine11/2019 - Aujourd'hui,Bleu,Noir,Tissu,5,5,Essence,Traction,1395                                                    cm³,,,,,,,134 245
170                                                    ch dyn,Diesel,Mercedes-Benz,Classe E,(211) Phase 2 Berline04/2006 - 01/2009,Noir,Noir,Cuir partiel,5,5,220 CDi 2.1 CDI 16V,Automatique,10                                                    cv,Propulsion,2200                                                    cm³,,,,,61 304
,,Peugeot,3008,II07/2016 - 08/2020,Blanc,Essence,Automatique,9                                                    cv,Traction,,,,,,,,,,90 601
Automatique,6                                                    cv,Skoda,Scala,02/2019 - 04/2024,Noir,Rouge,Cuir intégral,5,4,Essence,Traction,1600                                                    cm³,,,,,,,82 054
Automatique,6                                                    cv,Toyota,C-HR,I Phase 210/2019 - 12/2023,Rouge,Noir,Alcantara,5,4,Essence,Traction,1198                                                    cm³,,,,,,,108 557
75                                                    ch dyn,Essence,Seat,Ibiza,V02/2017 - 06/2021,Blanc,Gris,Tissu,5,5,1.0 i 12V,Manuelle,4                                                    cv,Traction,999                                                    cm³,,,,,68 352
